session_id;id;base_name;fecha;hora;modo;condiciones_medida;config_label;motivo_fin;duracion_solicitada_s;muestras;duracion_real_s;hz_real;bpm;bpm_peak;bpm_fft;bpm_autocorr;calidad;calidad_label;spo2_pct;ratio_r;temp_c_media;temp_c_ultima;temp_raw_ultima;pi_ir_pct;pi_red_pct;artefactos_ir_pct;artefactos_red_pct;contacto;cfg_confirmacion;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;raw;processed;plot;screenshot;summary;config;bpm_blocks_10s_json;blocks_10s_file
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;BLOQUE_COMPLETADO;10.0;348;7.690;39.92;127.9;127.9;46.8;177.1;40.4;dudosa;98.0;0.54558;24.52;25.29;2059;0.2959;0.1614;3.9;7.8;contacto útil;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.json;sensor_config_20260601_142023.json;[127.87522014044269];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 02 - B1F_AVG1_ADC16384;BLOQUE_COMPLETADO;10.0;399;8.974;39.89;53.5;136.1;53.5;178.0;21.4;dudosa;99.8;0.39146;24.46;24.86;2042;0.2949;0.1154;3.3;0.0;contacto útil;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.json;sensor_config_20260601_142023.json;[NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B1F_AVG4_ADC8192;BLOQUE_COMPLETADO;10.0;100;9.946;9.95;54.3;;54.3;171.4;45.6;aceptable;79.8;1.00572;24.60;24.71;2036;5.3214;5.3518;4.0;4.0;contacto útil;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.json;sensor_config_20260601_142023.json;[NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG4_ADC16384;BLOQUE_COMPLETADO;10.0;99;9.825;9.97;48.1;48.1;48.7;171.4;51.7;aceptable;;;24.58;24.68;2035;;;4.0;4.0;sin contacto;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.json;sensor_config_20260601_142023.json;[];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B3F_AVG1_ADC8192;BLOQUE_COMPLETADO;10.0;398;8.994;39.92;46.6;134.7;46.6;184.2;7.4;dudosa;99.9;0.36533;24.39;24.76;2038;0.1466;0.0536;0.0;0.0;contacto débil / baja perfusión;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.json;sensor_config_20260601_142023.json;[46.56794262829471, NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 06 - B3F_AVG1_ADC16384;BLOQUE_COMPLETADO;10.0;398;8.943;39.92;145.3;145.3;53.7;184.2;47.6;aceptable;99.8;0.38815;24.38;24.63;2033;0.1909;0.0741;0.0;0.0;contacto útil;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.json;sensor_config_20260601_142023.json;[145.28966300178004];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 07 - B3F_AVG4_ADC8192;BLOQUE_COMPLETADO;10.0;101;9.966;10.03;48.0;;48.0;171.4;0.0;dudosa;80.1;1.00146;24.40;24.38;2023;5.7679;5.7763;9.9;5.0;contacto útil;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.json;sensor_config_20260601_142023.json;[NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 08 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;10.0;99;9.827;9.97;48.7;;48.7;171.4;27.2;dudosa;;;24.46;24.41;2024;;;4.0;4.0;sin contacto;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.json;sensor_config_20260601_142023.json;[];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 09 - B7F_AVG1_ADC8192;BLOQUE_COMPLETADO;10.0;397;8.974;39.89;112.3;112.3;46.7;181.0;19.4;dudosa;99.1;0.47342;24.65;24.61;2032;0.0663;0.0314;1.7;3.3;contacto débil / baja perfusión;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.json;sensor_config_20260601_142023.json;[NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;2026-06-01;14:20:33;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;BLOQUE_COMPLETADO;10.0;399;8.974;39.89;109.5;109.5;46.8;181.0;25.2;dudosa;99.7;0.40850;24.42;24.91;2044;0.0631;0.0258;1.7;0.0;contacto débil / baja perfusión;confirmada;;;;raw_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv;proc_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv;plot_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.png;;summary_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.json;sensor_config_20260601_142023.json;[NaN];bpm_blocks_10s_BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv
