session_id;id;base_name;fecha;hora;modo;condiciones_medida;config_label;motivo_fin;duracion_solicitada_s;muestras;duracion_real_s;hz_real;bpm;bpm_peak;bpm_fft;bpm_autocorr;calidad;calidad_label;spo2_pct;ratio_r;resp_min_exp;resp_calidad_exp;resp_razon_exp;temp_c_media;temp_c_ultima;temp_raw_ultima;pi_ir_pct;pi_red_pct;artefactos_ir_pct;artefactos_red_pct;contacto;cfg_confirmacion;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;raw;processed;plot;screenshot;summary;config;bpm_blocks_10s_json;blocks_10s_file
BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384;2026-06-10;14:02:59;configurations;LEFT;CONFIG 02 - B5F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1144;26.726;38.88;111.6;110.9;112.2;184.8;54.0;aceptable;89.3;0.82288;11.2;66;"experimental: pico lento 11.2 resp/min; dominancia=1.05; banda=0.98; ciclos~5.0";31.84;31.99;2316;0.1109;0.0913;2.3;4.9;contacto débil / baja perfusión;confirmada;111;110;;raw_BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[NaN, NaN, 109.60108137562028];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG001_CONFIG_02_-_B5F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;2026-06-10;14:02:59;configurations;LEFT;CONFIG 03 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1143;26.708;39.50;111.1;112.1;107.8;112.1;75.3;buena;99.8;0.27570;9.0;67;"experimental: pico lento 9.0 resp/min; dominancia=1.80; banda=1.00; ciclos~4.0";32.02;31.77;2308;0.0920;0.0254;0.7;0.0;contacto débil / baja perfusión;confirmada;110;106;;raw_BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[110.13376189436603, 110.91106489602987, NaN];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384;2026-06-10;14:02:59;configurations;LEFT;CONFIG 02 - B5F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1142;15.766;37.36;115.3;113.6;112.2;119.3;47.8;aceptable;99.8;0.27093;;0;respiracion experimental no estimable: toma menor de 20 s;32.73;33.78;2382;0.0877;0.0238;44.4;2.5;contacto débil / baja perfusión;confirmada;106;110;;raw_BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[113.30756200047969, NaN, 110.89015407513175];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG003_CONFIG_02_-_B5F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384;2026-06-10;14:03:00;configurations;LEFT;CONFIG 03 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1143;26.711;36.61;47.2;113.3;47.2;185.4;5.7;dudosa;96.0;0.63383;11.2;64;"experimental: pico lento 11.2 resp/min; dominancia=1.16; banda=0.92; ciclos~5.0";33.88;31.96;2315;0.1566;0.0992;7.9;6.4;contacto útil;confirmada;110;110;;raw_BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[NaN, NaN, NaN];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG004_CONFIG_03_-_B3F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384;2026-06-10;14:03:00;configurations;LEFT;CONFIG 02 - B5F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1143;26.713;39.76;105.1;106.1;98.8;108.4;54.9;aceptable;99.8;0.39045;11.2;69;"experimental: pico lento 11.2 resp/min; dominancia=1.52; banda=1.00; ciclos~5.0";33.75;35.79;2454;0.0264;0.0103;0.0;0.0;contacto débil / baja perfusión;confirmada;110;105;;raw_BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[107.31439840460872, 100.62958737396342, NaN];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG005_CONFIG_02_-_B5F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384;2026-06-10;14:03:00;configurations;LEFT;CONFIG 03 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1142;26.680;39.77;125.6;119.3;110.2;125.6;39.6;dudosa;99.7;0.25899;9.0;64;"experimental: pico lento 9.0 resp/min; dominancia=1.39; banda=0.98; ciclos~4.0";34.47;34.17;2396;0.0490;0.0127;0.0;0.0;contacto débil / baja perfusión;confirmada;105;115;;raw_BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[118.25768556814377, 117.638189552325, 116.29446085884564];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG006_CONFIG_03_-_B3F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384;2026-06-10;14:03:01;configurations;LEFT;CONFIG 02 - B5F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1144;26.731;39.77;109.0;108.5;110.0;183.5;74.3;buena;99.2;0.20538;6.7;57;"experimental: pico lento 6.7 resp/min; dominancia=1.27; banda=0.94; ciclos~3.0";34.82;34.25;2399;0.0678;0.0139;0.0;0.0;contacto débil / baja perfusión;confirmada;115;106;;raw_BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[114.01978879239908, 109.70139813548805, 100.87167009099792];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG007_CONFIG_02_-_B5F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384;2026-06-10;14:03:01;configurations;LEFT;CONFIG 03 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1143;26.716;37.99;115.5;115.5;112.2;173.1;33.0;dudosa;98.6;0.50894;9.0;59;"experimental: pico lento 9.0 resp/min; dominancia=1.17; banda=0.89; ciclos~4.0";34.27;34.56;2410;0.0580;0.0295;4.4;1.3;contacto débil / baja perfusión;confirmada;106;115;;raw_BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[110.6733629857816, NaN, NaN];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG008_CONFIG_03_-_B3F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384;2026-06-10;14:03:01;configurations;LEFT;CONFIG 02 - B5F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1142;26.689;39.75;125.9;125.9;101.2;183.5;28.0;dudosa;99.7;0.26726;6.7;59;"experimental: pico lento 6.7 resp/min; dominancia=3.31; banda=0.67; ciclos~3.0";33.16;33.70;2379;0.0677;0.0181;0.0;0.0;contacto débil / baja perfusión;confirmada;115;100;;raw_BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[99.08160266124348, NaN, NaN];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG009_CONFIG_02_-_B5F_AVG4_ADC16384.csv
BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384;386;BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384;2026-06-10;14:03:01;configurations;LEFT;CONFIG 03 - B3F_AVG4_ADC16384;BLOQUE_COMPLETADO;30.0;1143;26.718;39.75;116.4;116.4;107.8;125.5;39.9;dudosa;99.9;0.30865;6.7;57;"experimental: pico lento 6.7 resp/min; dominancia=1.58; banda=0.87; ciclos~3.0";33.89;33.78;2382;0.0535;0.0165;0.0;0.0;contacto débil / baja perfusión;confirmada;100;109;;raw_BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384.csv;proc_BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384.csv;plot_BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384.png;;summary_BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384.json;sensor_config_20260610_140203.json;[114.68676278156047, NaN, 114.75819576630578];bpm_blocks_10s_BLOQUE_16CFG_386_20260610_135136_CFG010_CONFIG_03_-_B3F_AVG4_ADC16384.csv
